public_date,user_name,review_text
2 months ago,Rich McCutcheon,i like the variety... lots of produce and meats.  sells beer too.  😁
2 months ago,Douglas Bailey,Easy pick up
2 months ago,Elsa Gurton,Good experience. Called to find out if they had a certain product I needed. The manager double checked on the shelf. Went and got said item as well as groceries. The store was very clean and everyone was being cautious and following covid measures.
2 months ago,LIVIN A MATHEW,Great
3 months ago,allan robertson,Nice place
3 months ago,Melanie Orr,Very clean and organized
3 months ago,Cindy Smith,Great experience. Always clean and tidy. No line ups outside.
3 months ago,pierre levesque,"Store is always impeccably clean, and they have great covid cleaning practices in place. Typically a little more expensive than other grocery stores but you can find some good deals. Their hot and fresh section is fantastic and food tastes great."
3 months ago,Frederick Price,Had pre-cooked chicken when I needed it later at night.
3 months ago,Dhindsa Sohi,I got dufflet white & black chocolate cake. It's delicious 😋. Love it 💟
3 months ago,Shane Ricketts,Large selection and variety.
3 months ago,Colin Campbell,"Staff are pleasant , personable and professional. Even under theese trying times they keep up a good face and outlook , giving the clientele a happy comfortable setting , in hopes of making them happier during this awkward time.
Well done the the customer service representatives hire by smart upper management , that care about the customers."
3 months ago,Stephen Wilkinson,Click and collect service was easy and accurate.
3 months ago,John Williams,Impeccably clean large grocery store with lots of variety to choose from for those special Christmas baking ideas
3 months ago,Erin Catt,Very clean store great deals on
3 months ago,Dave Belyk,The only problem I saw was there was no carts or baskets
3 months ago,Robert Ruttan,Not too busy early on the morning. Well stocked. Helpful staff. A bit pricier then some of the others but worth for the selection
3 months ago,Shantel,Very nice Staff and clean! 👌
3 months ago,Randy Beavis,"Loblaws was busy but lines moved quickly. Sales items were in stock and I found more than I went in for. Cashier was friendly and funny. Remember,  we need all the humour we can get in these times."
4 months ago,Dana Leonard,This store has everything and the staff is excellent
4 months ago,cassandra wellington,"I bought two dozen chestnuts last week.  I usually slice chestnuts open and roast them in the oven, but about half of them were so hard I couldn't even slice them. The ones that I could cut slice turned out to be rotten on the inside or would not peel at all after roasting. I ended up being able to eat 3 chestnuts and the rest went into the green bin. What a disappointment, especially since they're a seasonal item that I really look forward to."
4 months ago,chris stix,Wayyyyyyyyy to expensive.
4 months ago,Mike Owen,"The prepared foods in the deli area are better than almost any fast food restaurant. Primarily the wings, fingers, scalloped taters, all really great quality. Great staff as well. Just nice clean tidy respectfull place to shop.unlike the big store next door that throws good food away they reduce food to enjoy today, instead of throwing it away. For a family budget it's a really great option to buy canadian."
4 months ago,Chris Simpson,"Great store, from pharmacy to food, get everything you need here! Including beer."
4 months ago,Pamela Morley,Love using click and connect. Service is great. I love the quality of products at loblaws including fresh produce.
4 months ago,carlo fusco,Clean and fresh
4 months ago,Tony De Gasperis,It was busy. It took 20 min to get to the cash register. The line up was all the way to the yogurt refrigerators and building up.
4 months ago,Jaskaran Singh,Such a big store still a huge line up at checkout. Took more than half hour to checkout really small number of items better install self checkout kiosks
4 months ago,R Catenaro,I spoke to a manager named Jennifer today who demonstrated complete apathy for a very unfortunate situation. Disappointed.
4 months ago,Samra Barun,Fresh fruit and vegetables also taste food also great service and the team helpful right there
4 months ago,Leah Stepanek,Clean and pleasant. Great selection. Good quality.
4 months ago,Matthew Lazzaro,Good hot plate deals. Love the sandwiches as well
4 months ago,johann isopp,The vegetable section is outragious! Filthy and picked over. The vegatables are days if not weeks old. The prices are criminal. They have done a good job merchandising for the upcoming holidays.
5 months ago,Donald Ryner,Got to love the selection and freshness!
5 months ago,Caleb Ward,Very safe in the covid time and the prices are fair as well
5 months ago,Christina Savoy,In and out in 10 the way I like it
5 months ago,lifeislove notcolour,decent place but needs to value their employees more ... ironic considering they own all the groceries shops and sell the same thing at different prices in their other shops ...strange place indeed ....
5 months ago,William Blackstock,line ups tend to be long at this location.
5 months ago,amie mim,"The safety protocols I must say have been the best thus far..in luding not only sanitize stations but also wash basins..and also noticed they keep traffic going one way..u can  only enter one door and only exit a different one door..
Although to be honest I have found the most processing gouging there..
Which in of it alone is wrong in every aspects of life during these tiring times"
5 months ago,Rj King,Nice store. Little more expensive than others
5 months ago,Charly Tatchum Tamno,"Clean, organized, pleasant, wide range of choices!"
5 months ago,Beverly Talon,Pet peeve... I hate when they do put prices to product on shelves
5 months ago,Michele Smith,Found everything. Picking up a few things on Thanksgiving Sunday. Was in and out in on time. Thank you.
6 months ago,Orlagh Turtle,"Excellent service,  courteous, friendly staff"
6 months ago,ali kim,Great
6 months ago,Caroline Tutakiewicz,Such a clean and well stocked store. Staff is super friendly and its a great experience overall.
6 months ago,Dee Sans,"A clean grocery store with lots of options to choose from. They have a decent selection of foods for different cultures :) . It can be a bit pricey but that can be anywhere. Another added highlight is that they have a Magnotta winery boutique where you can pick up a nice wine (and for a really nice price point!) So if you're planning to host a dinner or don't want to go empty-handed to someone's party, this is your one-stop shop."
6 months ago,Soren Vaerum,Great selection. They do not have a good covid plan in terms of check out. Rather than utilizing multiple line ups at the cashier's with social distancing they enforce a single line. This often causes long wait times.
6 months ago,Charlotte Brethour,"Loblaws , is always safe because they clean between customers. No many of the other grocery stores do. Thank you for making my shopping experience less stressful."
6 months ago,Naomi ROSS,Great choices
6 months ago,Karen LeBlanc,Waited 35 minutes for PC Express at 8:00pm. No one else in the pick up area.
6 months ago,Mike Clarke,"Great produce. And easy to find other goods.
What I couldn't find Glen knew where it was!   Phil had cleaned carts ready to go!"
6 months ago,Maura Moschella,Very clean store and amazing variety of all types of food
6 months ago,gianni colella,Good and clean
6 months ago,Ramandeep Kaur,Amazing tastes!! A quick yumm snack and finger licking cake quality!!
6 months ago,Tyra Wadman,"BEWARE THE KARENS!!!

Out of every Loblaws I've been to, this one is (by far) the best in presentation and quality. A bit pricier than other neighboring grocers, but for this location, I'd make the sacrifice for things that aren't brand name, like meat/deli.

They like to reduce waste- meaning anything they don't sell in time gets marked down (typically around 50% off) and whatever doesn't sell from that gets made into compost/slop or made as food donations (depending what it is of course).

The meat is fresh, and out of all the places I've tried seafood, theirs seems to be the freshest. The bakery/Patisserie has a delicious variety to choose from and there's even a little cafe at the end of their sushi/hot deli counter.

The beef I have is with the owner (whom I've never met in my time working there). He decided to cut everyone's hours. I thought I could have a future there, but just as I thought I could start making a living, he hired on two new bakery associates and tossed us one 4-hour shift a week. I understand students need work, but what about those who aren't living off of student loans?  I had to pinch pennies and eat small portions just to make sure I had enough to last me the whole month. I couldn't even afford the bus pass to continue working there.

And I'll never let that go. )8<"
6 months ago,Una,I find loblaws way too expensive especially for veggies
6 months ago,safia akhtar,We can find different varieties of seafood
6 months ago,PAUL SMITH,"Too many people in the store, line ups a mile long.  I left without a purchase."
6 months ago,Tara Alexander,"A WIDE selection to suit every customer. Was nearly blown away by the extensive produce display and the clever layout. The cheese fridges are impressive to say the least as is the patisserie.
Advise to not shop if hungry. No need to ever head south with the options at this location."
6 months ago,Дмитрий,Everything is fine but on selfcheckout they can mount a screens between stations. Lines move very slow.
7 months ago,Ryan Chin,"Good food if you don't want to cook, at the hot meals to go"
7 months ago,John Skinner,"Line-ups to pay for groceries were brutal.  If you have to shop there, I would recommend not to buy anything that has to stay frozen like ice cream...lol"
7 months ago,James Lacey,Cleanbut expensive
7 months ago,Robert MacDonald,"The staff here are great but the guys who work in the butcher shop are amazing. Always willing to take time to discuss tips for cooking the perfect meal.
Not too mention the bone in chops are the best in town!!"
7 months ago,Luke Fex,Clean store with a good selection of groceries
7 months ago,Ashley Hicks,Pricey but worth it!
7 months ago,Sean Harrington,"Expensive but it has everything. Opens ar 7am and and your able to buy beer at that time.
Ps. I work midnight shifts."
7 months ago,mark gabriel,"It is among the high end grocery shops in Bayfield St. But when the items go on sale, its a steal! They also have a fancy food bar but reasonable price."
7 months ago,Cecilia Blondin,Great Place to Shop
7 months ago,Ryan Shuman,Great selection. Clean store. Huge checkout lines cost a star.
7 months ago,andrew robertson,Awesome store😎
